cohort_month,month_number,retained_mrr,retention_percentage
01-01-2023,0,95.82,100
01-01-2023,1,95.82,100
01-01-2023,2,95.82,100
01-01-2023,3,95.82,100
01-01-2023,4,95.82,100
01-01-2023,5,95.82,100
01-01-2023,6,95.82,100
01-01-2023,7,95.82,100
01-01-2023,8,95.82,100
01-01-2023,9,95.82,100
01-01-2023,10,95.82,100
01-01-2023,11,95.82,100
01-01-2023,12,13.69,14.29
01-01-2023,13,13.69,14.29
01-01-2023,14,13.69,14.29
01-01-2023,15,13.69,14.29
01-01-2023,16,13.69,14.29
01-01-2023,17,13.69,14.29
01-01-2023,18,13.69,14.29
01-01-2023,19,13.69,14.29
01-01-2023,20,13.69,14.29
01-01-2023,21,13.69,14.29
01-01-2023,22,13.69,14.29
01-01-2023,23,13.69,14.29
01-01-2023,24,27.38,28.57
01-01-2023,25,27.38,28.57
01-01-2023,26,27.38,28.57
01-01-2023,27,27.38,28.57
01-01-2023,28,27.38,28.57
01-01-2023,29,27.38,28.57
01-01-2023,30,27.38,28.57
01-01-2023,31,27.38,28.57
01-01-2023,32,27.38,28.57
01-01-2023,33,27.38,28.57
01-01-2023,34,27.38,28.57
01-01-2023,35,27.38,28.57
01-02-2023,0,232.45,100
01-02-2023,1,232.45,100
01-02-2023,2,232.45,100
01-02-2023,3,232.45,100
01-02-2023,4,232.45,100
01-02-2023,5,232.45,100
01-02-2023,6,232.45,100
01-02-2023,7,232.45,100
01-02-2023,8,232.45,100
01-02-2023,9,232.45,100
01-02-2023,10,232.45,100
01-02-2023,11,232.45,100
01-02-2023,12,177.69,76.44
01-02-2023,13,177.69,76.44
01-02-2023,14,177.69,76.44
01-02-2023,15,177.69,76.44
01-02-2023,16,177.69,76.44
01-02-2023,17,177.69,76.44
01-02-2023,18,177.69,76.44
01-02-2023,19,177.69,76.44
01-02-2023,20,177.69,76.44
01-02-2023,21,177.69,76.44
01-02-2023,22,177.69,76.44
01-02-2023,23,186.15,80.08
01-02-2023,24,137.69,59.23
01-02-2023,25,137.69,59.23
01-02-2023,26,137.69,59.23
01-02-2023,27,137.69,59.23
01-02-2023,28,137.69,59.23
01-02-2023,29,137.69,59.23
01-02-2023,30,137.69,59.23
01-02-2023,31,137.69,59.23
01-02-2023,32,137.69,59.23
01-02-2023,33,137.69,59.23
01-02-2023,34,137.69,59.23
01-02-2023,35,129.23,55.59
01-03-2023,0,238.31,100
01-03-2023,1,238.31,100
01-03-2023,2,238.31,100
01-03-2023,3,238.31,100
01-03-2023,4,238.31,100
01-03-2023,5,238.31,100
01-03-2023,6,238.31,100
01-03-2023,7,238.31,100
01-03-2023,8,238.31,100
01-03-2023,9,238.31,100
01-03-2023,10,238.31,100
01-03-2023,11,238.31,100
01-03-2023,12,219.85,92.25
01-03-2023,13,219.85,92.25
01-03-2023,14,219.85,92.25
01-03-2023,15,219.85,92.25
01-03-2023,16,219.85,92.25
01-03-2023,17,219.85,92.25
01-03-2023,18,219.85,92.25
01-03-2023,19,219.85,92.25
01-03-2023,20,219.85,92.25
01-03-2023,21,219.85,92.25
01-03-2023,22,219.85,92.25
01-03-2023,23,219.85,92.25
01-03-2023,24,304.61,127.82
01-03-2023,25,304.61,127.82
01-03-2023,26,304.61,127.82
01-03-2023,27,304.61,127.82
01-03-2023,28,304.61,127.82
01-03-2023,29,304.61,127.82
01-03-2023,30,304.61,127.82
01-03-2023,31,304.61,127.82
01-03-2023,32,304.61,127.82
01-03-2023,33,304.61,127.82
01-03-2023,34,304.61,127.82
01-03-2023,35,304.61,127.82
01-04-2023,0,312.77,100
01-04-2023,1,312.77,100
01-04-2023,2,312.77,100
01-04-2023,3,312.77,100
01-04-2023,4,312.77,100
01-04-2023,5,312.77,100
01-04-2023,6,312.77,100
01-04-2023,7,312.77,100
01-04-2023,8,312.77,100
01-04-2023,9,312.77,100
01-04-2023,10,312.77,100
01-04-2023,11,312.77,100
01-04-2023,12,312.77,100
01-04-2023,13,312.77,100
01-04-2023,14,312.77,100
01-04-2023,15,312.77,100
01-04-2023,16,312.77,100
01-04-2023,17,312.77,100
01-04-2023,18,312.77,100
01-04-2023,19,312.77,100
01-04-2023,20,312.77,100
01-04-2023,21,312.77,100
01-04-2023,22,312.77,100
01-04-2023,23,312.77,100
01-04-2023,24,245.39,78.46
01-04-2023,25,245.39,78.46
