reporting_month,start_of_period_mrr,new_mrr,expansion_mrr,contraction_mrr,lost_mrr,end_of_period_mrr
01-01-2023,0,95.82,0,0,0,95.82
01-02-2023,95.82,232.45,0,0,0,328.27
01-03-2023,328.27,238.31,0,0,0,566.58
01-04-2023,566.58,312.77,0,0,0,879.35
01-05-2023,879.35,469.82,0,0,0,1349.17
01-06-2023,1349.17,477.72,0,0,0,1826.89
01-07-2023,1826.89,876.9,0,0,0,2703.79
01-08-2023,2703.79,613.07,0,0,0,3316.86
01-09-2023,3316.86,546.91,0,0,0,3863.77
01-10-2023,3863.77,531.22,0,0,0,4394.99
01-11-2023,4394.99,863.17,0,0,0,5258.16
01-12-2023,5258.16,1336.95,0,0,0,6595.11
01-01-2024,6595.11,751.51,0,0,-82.13,7264.49
01-02-2024,7264.49,719.09,0,0,-54.76,7928.82
01-03-2024,7928.82,605.34,0,0,-18.46,8515.7
01-04-2024,8515.7,334.16,40,-20,-20,8849.86
01-05-2024,8849.86,334.85,0,-27.37,-82.13,9075.21
01-06-2024,9135.21,129.25,20,0,-88.62,9195.84
01-07-2024,9163.22,181.85,42.33,-10,-111.07,9266.33
01-08-2024,9238.95,0,0,-16.93,-26.93,9195.09
01-09-2024,9195.09,8.46,0,-44.3,-57.38,9101.87
01-10-2024,9101.87,16.93,134.75,0,-65.39,9188.16
01-11-2024,9293.7,0,84.76,-51.07,-134,9193.39
01-12-2024,9101.54,0,166.9,-78.44,-195.83,8994.17
01-01-2025,9035.87,0,171.67,-86.46,-72.77,9048.31
01-02-2025,8992.92,0,72.94,-30,-249.85,8786.01
01-03-2025,8786.01,0,124.76,-27.37,-23.69,8859.71
01-04-2025,8859.71,0,40,-48.47,-206.61,8644.63
01-05-2025,8644.63,0,10,-27.38,-183.98,8443.27
01-06-2025,8443.27,0,124.63,0,-60,8507.9
01-07-2025,8507.9,0,56.02,-25.39,-78.46,8460.07
01-08-2025,8460.07,0,10,-44.29,-46.93,8378.85
01-09-2025,8378.85,20,70.62,-8.47,-100.62,8360.38
01-10-2025,8360.38,0,0,-16.92,-36.93,8306.53
01-11-2025,8306.53,0,135.81,-35.85,-199.67,8206.82
01-12-2025,8206.82,0,95.39,-27.38,-337.49,7937.34
01-01-2026,7937.34,0,0,0,-819.34,7118
01-02-2026,7118,0,0,0,-634.48,6483.52
01-03-2026,6483.52,0,0,0,-898.89,5584.63
01-04-2026,5584.63,0,0,0,-431.85,5152.78
01-05-2026,5152.78,0,0,0,-493.81,4658.97
01-06-2026,4658.97,0,0,0,-662.98,3995.99
01-07-2026,3995.99,0,0,0,-899.56,3096.43
01-08-2026,3096.43,0,0,0,-460.61,2635.82
01-09-2026,2635.82,0,0,0,-435.22,2200.6
01-10-2026,2200.6,0,0,0,-563.66,1636.94
01-11-2026,1636.94,0,0,0,-768.69,868.25
01-12-2026,868.25,0,0,0,-868.25,0
